圣文森特和格林纳丁斯	聖文森及格瑞那丁
梵蒂冈	梵蒂岡
橡皮筋	橡膠橡膠
比利时	比利時
波贝岛	波維特島
爱尔兰	愛爾蘭
牙买加	牙買加
特克斯	土克凱可
瓦利斯	瓦利斯
留尼汪	留尼旺
百慕大	百慕達
福克兰	福克蘭
科威特	科威特
科摩罗	科摩羅
突尼斯	突尼西亞
立陶宛	立陶宛
笔记本	筆記型電腦
粘糊糊	黏糊糊
索马里	索馬利亞
肯尼亚	肯亞
苏利南	蘇利南
莱索托	賴索托
菲律宾	菲律賓
萨摩亚	薩摩亞
葡萄牙	葡萄牙
西兰花	花椰菜
西班牙	西班牙
西红柿	蕃茄
赞比亚	尚比亞
赫德岛	赫德島
过山车	雲霄飛車
邱可链	邱可鍊
里程碑	里程碑
金枪鱼	鮪魚
锁骨链	鎖骨鍊
长颈链	長項鍊
阿富汗	阿富汗
阿根廷	阿根廷
阿鲁巴	阿魯巴
集装箱	貨櫃
马其顿	馬其頓
马恩岛	曼島
马拉维	馬拉威
马耳他	馬爾他
黎巴嫩	黎巴嫩
0只	0隻
1只	1隻
2只	2隻
3只	3隻
4只	4隻
5只	5隻
6只	6隻
7只	7隻
8只	8隻
9只	9隻
C盘	C糟
D盘	D糟
E盘	E糟
U盘	隨身碟
一只	一隻
一周	一週
七只	七隻
万只	万隻
三只	三隻
上周	上週
下周	下週
不丹	不丹
两只	兩隻
两周	两週
中国	中國
中非	中非
丹麦	丹麥
为准	為準
乍得	查德
九只	九隻
也门	葉門
二只	二隻
五只	五隻
亿只	亿隻
伊朗	伊朗
优化	最佳化
信息	資訊
修复	修復
倒霉	倒楣
假面	假面
充值	儲值
兆只	兆隻
光复	光復
光複	光復
光驱	光碟機
克制	剋制
八只	八隻
六只	六隻
共享	分享
关岛	關島
关注	追蹤
关系	關係
内存	記憶體
冰岛	冰島
冰棍	冰棒
准备	準備
准定	肯定
准确	準確
几率	機率
出售	販賣
列表	清單
刚果	剛果
创建	創建
制作	製作
制服	制服
制造	製造
刷屏	洗版
刷新	重新整理
剩余	剩餘
剪切	剪下
加纳	迦納
加蓬	加彭
匹配	配對
十只	十隻
千只	千隻
南非	南非
博客	部落格
占领	佔領
印度	印度
卷入	捲入
卸载	移除
反复	反覆
反馈	回饋
发布	發布
取舍	取捨
古巴	古巴
合并	合併
合服	整合伺服器
周一	週一
周三	週三
周二	週二
周五	週五
周六	週六
周四	週四
周围	周圍
周年	週年
周日	週日
周末	週末
周间	週間
咨询	諮詢
哪里	哪裡
啰唆	囉嗦
喂食	餵食
四只	四隻
回复	回复
图标	圖示
土豆	馬鈴薯
在线	在線
坐标	座標
埃及	埃及
城市	都市
基准	基準
复习	複習
复仇	復仇
复位	復位
复兴	復興
复制	複製
复印	複印
复原	復原
复古	復古
复杂	複雜
复活	復活
复生	復甦
复词	複詞
复返	復返
多哥	多哥
夺取	掠奪
委托	委託
小家伙	小家夥
好家伙	好家夥
坏家伙	壞家夥
老家伙	老家夥
家伙	家夥
对准	對準
封号	封鎖帳號
屏幕	螢幕
屏蔽	遮蔽
峽谷	峽谷
巴林	巴林
巴西	巴西
布置	佈置
希腊	希臘
帕劳	帛琉
帝汶	帝汶
带宽	頻寬
干净	乾淨
干嘛	幹嘛
干扰	干擾
干掉	幹掉
干涉	干涉
开辟	開闢
德国	德國
心脏	心臟
恢复	恢復
悉尼	雪梨
手游	手遊
手链	手鍊
批复	批覆
抑郁	抑鬱
报复	報復
抬举	抬舉
拉面	拉麺
拜托	拜託
挣扎	掙扎
挪威	挪威
捷克	捷克
掉线	斷線
推送	推播
搜索	搜尋
收获	收穫
放松	放鬆
文本	純文字檔
文莱	汶萊
斐济	斐濟
日志	日誌
日本	日本
智利	智利
朝鲜	北韓
本周	本週
松散	鬆散
查找	查詢
标准	標準
标志	標誌
根西	格恩西
楼主	原PO
概率	機率
每周	每週
汤加	東加
沙发	頭香
沙巴	沙巴
治愈	治癒
法国	法國
波兰	波蘭
注销	註銷
泰国	泰國
海地	海地
游戏	遊戲
溪谷	溪穀
澳门	澳門
激活	啟用
炮击	砲擊
点赞	讚好
特征	特徵
瑙鲁	諾魯
瑞典	瑞典
瑞士	瑞士
界面	介面
登录	登入
發泄	發洩
白发	白髮
百只	百隻
皮制	皮製
相克	相剋
短信	簡訊
短链	短鏈
硬件	硬體
硬盘	硬碟
社区	社團
离岛	美屬邊疆群島
离线	離線
秘鲁	秘魯
程序	程式
粘著	黏著
粘贴	貼上
精选	精彩
约旦	約旦
纽埃	紐埃
终端	裝置
缅甸	緬甸
网络	網路
美国	美國
老挝	寮國
联系	聯繫
肉干	肉乾
肮脏	骯髒
脸书	Facebook
自制	自製
船只	船隻
芬兰	芬蘭
苏丹	蘇丹
苏联	蘇聯
英国	英國
荷兰	荷蘭
菜单	選單
菜單	選單
菠萝	鳳梨
蒙古	蒙古
薯片	洋芋片
补丁包	修正檔
补丁	修正檔
袭击	突擊
视频	影片
论坛	粉絲團
设置	設定
访问	讀取
贝宁	貝南
账号	帳號
贵宾	VIP
起点	出發地
越南	越南
蹒跚	蹣跚
软件	軟體
轻松	輕鬆
这里	這裡
通过	透過
那里	那裡
邮件	信件
邮箱	信箱
采用	採用
采矿	採礦
采集	採集
重叠	重疊
重复	重複
金链	金鍊
钢链	鋼鍊
铁制	鐵製
铜制	銅製
银发	銀髮
银链	銀鍊
链接	連結
长链	長鍊
關于	關於
闲聊	閒聊
闲话	閒話
阿曼	阿曼
雇用	僱用
音频	語音
项链	項鍊
颈链	頸鍊
香港	香港
验证	認證
骷髅	骷髏
黑发	黑髮
黑客	駭客
黑山	蒙特內哥羅
默认	預設
鼠标	滑鼠
么	麼
提升	提升
卷土重来	捲土重來
可通过	可透過
不容错过	不從錯過
首充	首儲
名分	名份
恐怖分子	恐怖份子
里面	裏面
里外	裏外
这里	這裏
那里	那裏
哪里	哪裏
里边	裏邊
里院	裏院
里面	裏面
里头	裏頭
里子	裏子
复诊	複診
汇编语言	彙編語言
汇编	彙編
汇报	匯報
岚	嵐
启源女神	異世界女神物語
风之大陆	風之國度
大航海大戰：航海衝突	大航海大戰：航海衝突
穿越火线：战争地带	穿越火線：戰爭地帶
创世纪战：安塔利亚战争	創世紀戰：安塔利亞戰爭
富翁时代	Game Of Dice
英雄球Z	Hero Ball Z
炮艇战: 军团之争	軍團之爭 全面開戰
街头篮球1	Freestyle1
王牌坦克	戰車大戰之全面出擊
神佑	BLESS
支持简体	支援簡體
支持繁体	支援繁體
支持中文	支援中文
支持中文	支援中文
用于	用於
账户	帳戶
下麵	下面
网络连接	網路連線
